2025-10-02 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-03 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-04 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-05 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-06 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-07 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-08 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-09 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-10 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-11 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-12 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-13 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-14 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-15 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-16 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-17 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-18 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-19 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-20 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-21 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-22 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-23 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-24 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-25 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-26 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-27 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-28 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-29 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-30 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-10-31 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-01 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-02 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-03 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-04 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-05 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-06 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-07 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-08 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-09 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-10 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-11 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-12 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-13 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-14 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-15 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-16 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-17 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-18 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-19 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-20 | hours: 1555:50 (1555.83) | delta: 0.00 | prev: 1555.8333333333333 -> 1555.8333333333333
2025-11-21 | hours: 1589:00 (1589.00) | delta: 33.17 | prev: 1555.8333333333333 -> 1589
2025-11-21 | hours: 1589:00 (1589.00) | delta: 0.00 | prev: 1589 -> 1589
2025-11-22 | hours: 1589:00 (1589.00) | delta: 0.00 | prev: 1589 -> 1589
2025-11-23 | hours: 1589:00 (1589.00) | delta: 0.00 | prev: 1589 -> 1589
2025-11-23 | hours: 1589:00 (1589.00) | delta: 0.00 | prev: 1589 -> 1589
2025-11-24 | hours: 1589:00 (1589.00) | delta: 0.00 | prev: 1589 -> 1589
2025-11-25 | hours: 1589:00 (1589.00) | delta: 0.00 | prev: 1589 -> 1589
2025-11-26 | hours: 1589:00 (1589.00) | delta: 0.00 | prev: 1589 -> 1589
2025-11-27 | hours: 1589:00 (1589.00) | delta: 0.00 | prev: 1589 -> 1589
2025-11-28 | hours: 1589:00 (1589.00) | delta: 0.00 | prev: 1589 -> 1589
2025-11-29 | hours: 1589:00 (1589.00) | delta: 0.00 | prev: 1589 -> 1589
2025-11-30 | hours: 1589:00 (1589.00) | delta: 0.00 | prev: 1589 -> 1589
